module,class_name,node_id,iso_class,iso_node_id
nodes_rodin,Rodin3D_Detail,Rodin3D_Detail,Rodin3D_Detail_ISO,Rodin3D_Detail_ISO
nodes_rodin,Rodin3D_Smooth,Rodin3D_Smooth,Rodin3D_Smooth_ISO,Rodin3D_Smooth_ISO
nodes_rodin,Rodin3D_Sketch,Rodin3D_Sketch,Rodin3D_Sketch_ISO,Rodin3D_Sketch_ISO
nodes_rodin,Rodin3D_Gen2,Rodin3D_Gen2,Rodin3D_Gen2_ISO,Rodin3D_Gen2_ISO
nodes_runway,RunwayImageToVideoNodeGen3a,RunwayImageToVideoNodeGen3a,RunwayImageToVideoNodeGen3a_ISO,RunwayImageToVideoNodeGen3a_ISO
nodes_runway,RunwayImageToVideoNodeGen4,RunwayImageToVideoNodeGen4,RunwayImageToVideoNodeGen4_ISO,RunwayImageToVideoNodeGen4_ISO
nodes_runway,RunwayFirstLastFrameNode,RunwayFirstLastFrameNode,RunwayFirstLastFrameNode_ISO,RunwayFirstLastFrameNode_ISO
nodes_runway,RunwayTextToImageNode,RunwayTextToImageNode,RunwayTextToImageNode_ISO,RunwayTextToImageNode_ISO
nodes_sora,OpenAIVideoSora2,OpenAIVideoSora2,OpenAIVideoSora2_ISO,OpenAIVideoSora2_ISO
nodes_stability,StabilityStableImageUltraNode,StabilityStableImageUltraNode,StabilityStableImageUltraNode_ISO,StabilityStableImageUltraNode_ISO
nodes_stability,StabilityStableImageSD_3_5Node,StabilityStableImageSD_3_5Node,StabilityStableImageSD_3_5Node_ISO,StabilityStableImageSD_3_5Node_ISO
nodes_stability,StabilityUpscaleConservativeNode,StabilityUpscaleConservativeNode,StabilityUpscaleConservativeNode_ISO,StabilityUpscaleConservativeNode_ISO
nodes_stability,StabilityUpscaleCreativeNode,StabilityUpscaleCreativeNode,StabilityUpscaleCreativeNode_ISO,StabilityUpscaleCreativeNode_ISO
nodes_stability,StabilityUpscaleFastNode,StabilityUpscaleFastNode,StabilityUpscaleFastNode_ISO,StabilityUpscaleFastNode_ISO
nodes_stability,StabilityTextToAudio,StabilityTextToAudio,StabilityTextToAudio_ISO,StabilityTextToAudio_ISO
nodes_stability,StabilityAudioToAudio,StabilityAudioToAudio,StabilityAudioToAudio_ISO,StabilityAudioToAudio_ISO
nodes_stability,StabilityAudioInpaint,StabilityAudioInpaint,StabilityAudioInpaint_ISO,StabilityAudioInpaint_ISO
nodes_topaz,TopazImageEnhance,TopazImageEnhance,TopazImageEnhance_ISO,TopazImageEnhance_ISO
nodes_topaz,TopazVideoEnhance,TopazVideoEnhance,TopazVideoEnhance_ISO,TopazVideoEnhance_ISO
nodes_tripo,TripoTextToModelNode,TripoTextToModelNode,TripoTextToModelNode_ISO,TripoTextToModelNode_ISO
nodes_tripo,TripoImageToModelNode,TripoImageToModelNode,TripoImageToModelNode_ISO,TripoImageToModelNode_ISO
nodes_tripo,TripoMultiviewToModelNode,TripoMultiviewToModelNode,TripoMultiviewToModelNode_ISO,TripoMultiviewToModelNode_ISO
nodes_tripo,TripoTextureNode,TripoTextureNode,TripoTextureNode_ISO,TripoTextureNode_ISO
nodes_tripo,TripoRefineNode,TripoRefineNode,TripoRefineNode_ISO,TripoRefineNode_ISO
nodes_tripo,TripoRigNode,TripoRigNode,TripoRigNode_ISO,TripoRigNode_ISO
nodes_tripo,TripoRetargetNode,TripoRetargetNode,TripoRetargetNode_ISO,TripoRetargetNode_ISO
nodes_tripo,TripoConversionNode,TripoConversionNode,TripoConversionNode_ISO,TripoConversionNode_ISO
